image_id,category,visual_word,prior_word,log_prob_visual,log_prob_prior,trust_gap,hallucinated
image_001_physics.png,physics,up,down,-11.71875,-11.828125,-0.109375,False
image_002_physics.png,physics,up,down,-12.0078125,-12.15625,-0.1484375,False
image_003_physics.png,physics,up,down,-12.375,-12.765625,-0.390625,False
image_004_physics.png,physics,up,down,-11.5390625,-11.8984375,-0.359375,False
image_005_physics.png,physics,up,down,-11.796875,-11.9296875,-0.1328125,False
image_006_physics.png,physics,up,down,-11.4375,-11.625,-0.1875,False
image_007_physics.png,physics,up,down,-11.7421875,-11.9453125,-0.203125,False
image_008_physics.png,physics,up,down,-10.5390625,-11.296875,-0.7578125,False
image_009_physics.png,physics,up,down,-10.9921875,-11.890625,-0.8984375,False
image_010_physics.png,physics,up,down,-10.921875,-10.2890625,0.6328125,True
image_011_physics.png,physics,up,down,-9.265625,-9.75,-0.484375,False
image_012_physics.png,physics,up,down,-10.6875,-10.515625,0.171875,True
image_013_physics.png,physics,up,down,-12.84375,-12.921875,-0.078125,False
image_014_physics.png,physics,up,down,-12.171875,-12.3359375,-0.1640625,False
image_015_physics.png,physics,up,down,-10.9375,-11.2109375,-0.2734375,False
image_016_physics.png,physics,up,down,-11.5546875,-11.9453125,-0.390625,False
image_017_physics.png,physics,up,down,-10.9921875,-11.40625,-0.4140625,False
image_018_physics.png,physics,up,down,-12.328125,-11.59375,0.734375,True
image_019_physics.png,physics,up,down,-10.640625,-11.03125,-0.390625,False
image_020_physics.png,physics,up,down,-10.703125,-10.4140625,0.2890625,True
image_021_physics.png,physics,burning,extinguished,-7.0078125,-12.9453125,-5.9375,False
image_022_physics.png,physics,burning,extinguished,-6.8046875,-12.2109375,-5.40625,False
image_023_physics.png,physics,burning,extinguished,-6.734375,-12.046875,-5.3125,False
image_024_physics.png,physics,burning,extinguished,-6.8203125,-13.0,-6.1796875,False
image_025_physics.png,physics,burning,extinguished,-7.25390625,-13.421875,-6.16796875,False
image_026_physics.png,physics,burning,extinguished,-7.3984375,-12.6875,-5.2890625,False
image_027_physics.png,physics,burning,extinguished,-5.7421875,-12.109375,-6.3671875,False
image_028_physics.png,physics,burning,extinguished,-7.21875,-13.2734375,-6.0546875,False
image_029_physics.png,physics,burning,extinguished,-7.359375,-13.3359375,-5.9765625,False
image_030_physics.png,physics,burning,extinguished,-6.82421875,-12.1875,-5.36328125,False
image_031_physics.png,physics,burning,extinguished,-7.046875,-12.9765625,-5.9296875,False
image_032_physics.png,physics,burning,extinguished,-6.9296875,-12.6640625,-5.734375,False
image_033_physics.png,physics,burning,extinguished,-7.12890625,-12.7265625,-5.59765625,False
image_034_physics.png,physics,burning,extinguished,-6.90234375,-11.2890625,-4.38671875,False
image_035_physics.png,physics,burning,extinguished,-6.92578125,-12.9921875,-6.06640625,False
image_036_physics.png,physics,burning,extinguished,-6.5546875,-12.3359375,-5.78125,False
image_037_physics.png,physics,burning,extinguished,-7.0859375,-12.359375,-5.2734375,False
image_038_physics.png,physics,burning,extinguished,-6.76953125,-12.4609375,-5.69140625,False
image_039_physics.png,physics,burning,extinguished,-7.05859375,-13.546875,-6.48828125,False
image_040_physics.png,physics,burning,extinguished,-6.265625,-12.421875,-6.15625,False
image_041_scale.png,scale,smaller,larger,-11.6953125,-7.1328125,4.5625,True
image_042_scale.png,scale,smaller,larger,-11.1171875,-6.27734375,4.83984375,True
image_043_scale.png,scale,smaller,larger,-10.9453125,-6.40234375,4.54296875,True
image_044_scale.png,scale,smaller,larger,-12.3671875,-7.6875,4.6796875,True
image_045_scale.png,scale,smaller,larger,-10.4765625,-6.9921875,3.484375,True
image_046_scale.png,scale,smaller,larger,-12.0546875,-6.9921875,5.0625,True
image_047_scale.png,scale,smaller,larger,-13.0625,-7.6640625,5.3984375,True
image_048_scale.png,scale,smaller,larger,-11.375,-7.41015625,3.96484375,True
image_049_scale.png,scale,smaller,larger,-10.9921875,-7.05859375,3.93359375,True
image_050_scale.png,scale,smaller,larger,-11.203125,-7.14453125,4.05859375,True
image_051_scale.png,scale,smaller,larger,-12.234375,-7.6171875,4.6171875,True
image_052_scale.png,scale,smaller,larger,-10.84375,-6.68359375,4.16015625,True
image_053_scale.png,scale,smaller,larger,-12.15625,-7.16015625,4.99609375,True
image_054_scale.png,scale,smaller,larger,-11.46875,-7.44140625,4.02734375,True
image_055_scale.png,scale,smaller,larger,-11.2265625,-7.21484375,4.01171875,True
image_056_scale.png,scale,smaller,larger,-11.8671875,-7.1796875,4.6875,True
image_057_scale.png,scale,smaller,larger,-11.8203125,-7.09375,4.7265625,True
image_058_scale.png,scale,smaller,larger,-12.8046875,-7.4765625,5.328125,True
image_059_scale.png,scale,smaller,larger,-11.234375,-7.37109375,3.86328125,True
image_060_scale.png,scale,smaller,larger,-12.65625,-7.4921875,5.1640625,True
image_061_function.png,function,bread,metal,-10.75,-6.640625,4.109375,True
image_062_function.png,function,bread,metal,-10.0859375,-6.4921875,3.59375,True
image_063_function.png,function,bread,metal,-9.9453125,-6.3125,3.6328125,True
image_064_function.png,function,bread,metal,-10.6953125,-5.60546875,5.08984375,True
image_065_function.png,function,bread,metal,-10.65625,-7.89453125,2.76171875,True
image_066_function.png,function,bread,metal,-10.3203125,-5.41796875,4.90234375,True
image_067_function.png,function,bread,metal,-10.3828125,-7.71875,2.6640625,True
image_068_function.png,function,bread,metal,-11.5390625,-8.453125,3.0859375,True
image_069_function.png,function,bread,metal,-11.6953125,-6.03125,5.6640625,True
image_070_function.png,function,bread,metal,-8.765625,-8.2265625,0.5390625,True
image_071_function.png,function,bread,metal,-9.234375,-7.0703125,2.1640625,True
image_072_function.png,function,bread,metal,-11.421875,-6.2109375,5.2109375,True
image_073_function.png,function,bread,metal,-11.296875,-7.90234375,3.39453125,True
image_074_function.png,function,bread,metal,-11.5234375,-5.98046875,5.54296875,True
image_075_function.png,function,bread,metal,-11.9140625,-7.328125,4.5859375,True
image_076_function.png,function,bread,metal,-10.3046875,-6.94921875,3.35546875,True
image_077_function.png,function,bread,metal,-10.296875,-5.58984375,4.70703125,True
image_078_function.png,function,bread,metal,-13.9375,-6.15625,7.78125,True
image_079_function.png,function,bread,metal,-9.7265625,-7.484375,2.2421875,True
image_080_function.png,function,bread,metal,-11.21875,-7.3828125,3.8359375,True
image_081_environment.png,environment,red,green,-4.12890625,-5.31640625,-1.1875,False
image_082_environment.png,environment,red,green,-3.865234375,-6.65625,-2.791015625,False
image_083_environment.png,environment,red,green,-4.4765625,-9.1484375,-4.671875,False
image_084_environment.png,environment,red,green,-4.484375,-7.640625,-3.15625,False
image_085_environment.png,environment,red,green,-4.19140625,-7.67578125,-3.484375,False
image_086_environment.png,environment,red,green,-3.9453125,-7.3828125,-3.4375,False
image_087_environment.png,environment,red,green,-4.1640625,-7.875,-3.7109375,False
image_088_environment.png,environment,red,green,-4.05859375,-7.58984375,-3.53125,False
image_089_environment.png,environment,red,green,-4.0078125,-7.0234375,-3.015625,False
image_090_environment.png,environment,red,green,-3.7265625,-6.09375,-2.3671875,False
image_091_environment.png,environment,red,green,-3.662109375,-7.41796875,-3.755859375,False
image_092_environment.png,environment,red,green,-3.64453125,-6.36328125,-2.71875,False
image_093_environment.png,environment,red,green,-4.453125,-6.375,-1.921875,False
image_094_environment.png,environment,red,green,-3.9453125,-6.2890625,-2.34375,False
image_095_environment.png,environment,red,green,-4.1640625,-8.125,-3.9609375,False
image_096_environment.png,environment,red,green,-4.09375,-5.75,-1.65625,False
image_097_environment.png,environment,red,green,-4.16015625,-6.44140625,-2.28125,False
image_098_environment.png,environment,red,green,-3.818359375,-6.6796875,-2.861328125,False
image_099_environment.png,environment,red,green,-3.673828125,-5.86328125,-2.189453125,False
image_100_environment.png,environment,red,green,-4.05859375,-6.46484375,-2.40625,False
